,Common Ground,Label,Transcript,Group
439,red < blue,0,"red block , blue block 're equal",10.0
440,blue != red,0,"red block , blue block 're equal",10.0
441,blue > red,0,"red block , blue block 're equal",10.0
442,purple < 20,0,tell purple block one 's heavier .,10.0
443,purple != 50,0,tell purple block one 's heavier .,10.0
444,purple > 10,0,tell purple block one 's heavier .,10.0
445,purple > 40,0,tell purple block one 's heavier .,10.0
446,green != 40,0,green block one 's 20 ?,10.0
447,green < 30,0,green block one 's 20 ?,10.0
448,green < 20,0,green block one 's 20 ?,10.0
449,green > 30,0,green block one 's 20 ?,10.0
450,yellow < 50,0,would fifty okay,10.0
451,"green = 50, purple = 50, yellow = 50",0,would fifty okay,10.0
452,purple != 50,0,would fifty okay,10.0
453,"purple = 50, red = 50, yellow = 50",0,would fifty okay,10.0
454,yellow < 50,0,I weights fifty,10.0
455,"green = 50, purple = 50, yellow = 50",0,I weights fifty,10.0
456,purple != 50,0,I weights fifty,10.0
457,"purple = 50, red = 50, yellow = 50",0,I weights fifty,10.0
458,yellow > 50,0,yellow block less fifty less fifty,10.0
459,yellow != 50,0,yellow block less fifty less fifty,10.0
460,yellow = 50,0,yellow block less fifty less fifty,10.0
461,"blue = 10, red = 10, yellow = 30",0,yellow block less fifty less fifty,10.0
462,yellow > 50,0,yellow block fifty grams,10.0
463,yellow != 50,0,yellow block fifty grams,10.0
464,yellow = 50,0,yellow block fifty grams,10.0
465,"green = 50, purple = 10, yellow = 50",0,yellow block fifty grams,10.0
466,purple < 30,0,purple block thirty right ?,10.0
467,purple > 30,0,purple block thirty right ?,10.0
468,purple = 30,0,purple block thirty right ?,10.0
469,purple != 30,0,purple block thirty right ?,10.0
470,yellow < 50,0,yellow block 's fifty,10.0
471,yellow > 50,0,yellow block 's fifty,10.0
472,yellow != 50,0,yellow block 's fifty,10.0
473,yellow = 50,0,yellow block 's fifty,10.0
