Unnamed: 0,transcript,common_ground,scores,actual_common_ground,Group
48,purple block one 's thirty 's green block one twenty right twenty okay yellow block one 's gon na fifty okay,"green = 50, purple = 20, yellow = 30",0.22912529,"<m> green = 20, purple = 30, yellow = 50 </m>",10
49,But 's I weights fifty,green = 50,0.8839847,<m> yellow = 50 </m>,10
50,But 's I weights fifty,red = 50,0.86124676,<m> yellow = 50 </m>,10
51,But 's I weights fifty,blue = 50,0.8360586,<m> yellow = 50 </m>,10
52,But 's I weights fifty,yellow = 50,0.81940484,<m> yellow = 50 </m>,10
53,But 's I weights fifty,purple = 50,0.7773309,<m> yellow = 50 </m>,10
54,yellow block less fifty less fifty,yellow = 50,0.9283359,<m> yellow < 50 </m>,10
55,yellow block less fifty less fifty,yellow < 50,0.09410827,<m> yellow < 50 </m>,10
56,yellow block less fifty less fifty,yellow > 50,0.08496998,<m> yellow < 50 </m>,10
57,yellow block less fifty less fifty,yellow != 50,0.081024125,<m> yellow < 50 </m>,10
58,'s 's almost settled yellow block 's less fifty,yellow = 50,0.9452783,<m> yellow < 50 </m>,10
59,'s 's almost settled yellow block 's less fifty,yellow < 50,0.21792962,<m> yellow < 50 </m>,10
60,'s 's almost settled yellow block 's less fifty,yellow != 50,0.21108097,<m> yellow < 50 </m>,10
61,'s 's almost settled yellow block 's less fifty,yellow > 50,0.18072508,<m> yellow < 50 </m>,10
62,oh yellow block fifty grams,yellow = 50,0.923468,<m> yellow = 50 </m>,10
63,oh yellow block fifty grams,yellow > 50,0.06897177,<m> yellow = 50 </m>,10
64,oh yellow block fifty grams,yellow < 50,0.066825,<m> yellow = 50 </m>,10
65,oh yellow block fifty grams,yellow != 50,0.06269668,<m> yellow = 50 </m>,10
66,"purple block thirty right thirty green block twenty red block , blue block tens","blue = 20, green = 10, purple = 30, red = 10",0.2730163,"<m> blue = 10, green = 20, purple = 30, red = 10 </m>",10
67,"purple block thirty right thirty green block twenty red block , blue block tens","blue = 20, green = 30, purple = 10, red = 10",0.26587412,"<m> blue = 10, green = 20, purple = 30, red = 10 </m>",10
68,"purple block thirty right thirty green block twenty red block , blue block tens","blue = 20, green = 30, purple = 10, red = 30",0.25208077,"<m> blue = 10, green = 20, purple = 30, red = 10 </m>",10
69,"purple block thirty right thirty green block twenty red block , blue block tens","blue = 10, green = 20, purple = 30, red = 10",0.25044456,"<m> blue = 10, green = 20, purple = 30, red = 10 </m>",10
70,"purple block thirty right thirty green block twenty red block , blue block tens","blue = 20, green = 10, purple = 30, red = 30",0.24352652,"<m> blue = 10, green = 20, purple = 30, red = 10 </m>",10
0,And tell red cube top ten grams,red = 10,0.9451995,<m> red = 10 </m>,1
1,And tell red cube top ten grams,red != 10,0.120725855,<m> red = 10 </m>,1
2,And tell red cube top ten grams,red < 10,0.120711625,<m> red = 10 </m>,1
3,And tell red cube top ten grams,red > 10,0.11866854,<m> red = 10 </m>,1
4,red block would nine minus ten,red = 10,0.9658004,<m> red = 10 </m>,1
5,red block would nine minus ten,red < 10,0.6444255,<m> red = 10 </m>,1
6,red block would nine minus ten,red != 10,0.58037627,<m> red = 10 </m>,1
7,red block would nine minus ten,red > 10,0.3966815,<m> red = 10 </m>,1
8,"red block , blue block seems pretty balanced",blue = red,0.96802616,<m> blue = red </m>,1
9,"red block , blue block seems pretty balanced",blue > red,0.9580479,<m> blue = red </m>,1
10,"red block , blue block seems pretty balanced",red > blue,0.94972956,<m> blue = red </m>,1
11,"red block , blue block seems pretty balanced",red < blue,0.89707047,<m> blue = red </m>,1
12,"red block , blue block seems pretty balanced",blue < red,0.8850763,<m> blue = red </m>,1
13,blue block also ten,blue = 10,0.9460753,<m> blue = 10 </m>,1
14,blue block also ten,blue < 10,0.13354868,<m> blue = 10 </m>,1
15,blue block also ten,blue > 10,0.10119268,<m> blue = 10 </m>,1
16,blue block also ten,blue != 10,0.094375,<m> blue = 10 </m>,1
17,And see 's thats twenty,red = 20,0.9510545,<m> purple != 20 </m>,1
18,And see 's thats twenty,green = 20,0.9507195,<m> purple != 20 </m>,1
19,And see 's thats twenty,yellow = 20,0.9408214,<m> purple != 20 </m>,1
20,And see 's thats twenty,blue = 20,0.925351,<m> purple != 20 </m>,1
21,And see 's thats twenty,purple = 20,0.90563655,<m> purple != 20 </m>,1
22,And see 's thats twenty,red = 20,0.9510545,<m> purple != 20 </m>,1
23,And see 's thats twenty,green = 20,0.9507195,<m> purple != 20 </m>,1
24,And see 's thats twenty,yellow = 20,0.9408214,<m> purple != 20 </m>,1
25,And see 's thats twenty,blue = 20,0.925351,<m> purple != 20 </m>,1
26,And see 's thats twenty,purple = 20,0.90563655,<m> purple != 20 </m>,1
27,green block one probably twenty ten ten twenty,green = 20,0.96352434,"<m> blue = 10, green = 20, red = 10 </m>",1
28,green block one probably twenty ten ten twenty,green = 10,0.96305436,"<m> blue = 10, green = 20, red = 10 </m>",1
29,green block one probably twenty ten ten twenty,green < 20,0.8967402,"<m> blue = 10, green = 20, red = 10 </m>",1
30,green block one probably twenty ten ten twenty,green < 10,0.84988153,"<m> blue = 10, green = 20, red = 10 </m>",1
31,green block one probably twenty ten ten twenty,green > 20,0.82212794,"<m> blue = 10, green = 20, red = 10 </m>",1
32,green block one probably twenty ten ten twenty,green = 20,0.96352434,"<m> blue = 10, green = 20, red = 10 </m>",1
33,green block one probably twenty ten ten twenty,green = 10,0.96305436,"<m> blue = 10, green = 20, red = 10 </m>",1
34,green block one probably twenty ten ten twenty,green < 20,0.8967402,"<m> blue = 10, green = 20, red = 10 </m>",1
35,green block one probably twenty ten ten twenty,green < 10,0.84988153,"<m> blue = 10, green = 20, red = 10 </m>",1
36,green block one probably twenty ten ten twenty,green > 20,0.82212794,"<m> blue = 10, green = 20, red = 10 </m>",1
37,Ooh looking thirty,green = 30,0.9582597,<m> purple = 30 </m>,1
38,Ooh looking thirty,yellow = 30,0.9575596,<m> purple = 30 </m>,1
39,Ooh looking thirty,red = 30,0.9571774,<m> purple = 30 </m>,1
40,Ooh looking thirty,blue = 30,0.9560083,<m> purple = 30 </m>,1
41,Ooh looking thirty,purple = 30,0.9523158,<m> purple = 30 </m>,1
42,"blue dark blue one thirty purple block 's larger one purple block , red block , blue block 's slightly heavier",blue < green + purple + yellow,0.9695277,<m> yellow > blue + purple + red </m>,1
43,"blue dark blue one thirty purple block 's larger one purple block , red block , blue block 's slightly heavier",green < blue + red + yellow,0.9695164,<m> yellow > blue + purple + red </m>,1
44,"blue dark blue one thirty purple block 's larger one purple block , red block , blue block 's slightly heavier",green < blue + purple + yellow,0.9695109,<m> yellow > blue + purple + red </m>,1
45,"blue dark blue one thirty purple block 's larger one purple block , red block , blue block 's slightly heavier",blue < green + purple + red,0.9695052,<m> yellow > blue + purple + red </m>,1
46,"blue dark blue one thirty purple block 's larger one purple block , red block , blue block 's slightly heavier",purple < blue + green + yellow,0.96947455,<m> yellow > blue + purple + red </m>,1
47,"im thinking red block , blue block , green block , yellow block , purple block 's ten ten twenty thirty",purple = 20,0.9654892,"<m> blue = 10, green = 20, purple = 30, red = 10 </m>",1
48,"im thinking red block , blue block , green block , yellow block , purple block 's ten ten twenty thirty",purple = 30,0.964892,"<m> blue = 10, green = 20, purple = 30, red = 10 </m>",1
49,"im thinking red block , blue block , green block , yellow block , purple block 's ten ten twenty thirty",purple = 10,0.96476054,"<m> blue = 10, green = 20, purple = 30, red = 10 </m>",1
50,"im thinking red block , blue block , green block , yellow block , purple block 's ten ten twenty thirty",red = 20,0.96466005,"<m> blue = 10, green = 20, purple = 30, red = 10 </m>",1
51,"im thinking red block , blue block , green block , yellow block , purple block 's ten ten twenty thirty",red = 10,0.96338665,"<m> blue = 10, green = 20, purple = 30, red = 10 </m>",1
52,"thirty fourty fifty correct purple block , green block 's still heavier yellow block thing",purple != blue + green + red + yellow,0.9699293,<m> yellow < 50 </m>,1
53,"thirty fourty fifty correct purple block , green block 's still heavier yellow block thing",purple != blue + green + red,0.969732,<m> yellow < 50 </m>,1
54,"thirty fourty fifty correct purple block , green block 's still heavier yellow block thing",yellow != blue + green + purple + red,0.96969867,<m> yellow < 50 </m>,1
55,"thirty fourty fifty correct purple block , green block 's still heavier yellow block thing",blue != green + purple + red + yellow,0.9695332,<m> yellow < 50 </m>,1
56,"thirty fourty fifty correct purple block , green block 's still heavier yellow block thing",red != blue + green + purple + yellow,0.9689418,<m> yellow < 50 </m>,1
57,fifty yellow fifty,yellow = 50,0.9504411,<m> yellow = 50 </m>,1
58,fifty yellow fifty,yellow < 50,0.89868736,<m> yellow = 50 </m>,1
59,fifty yellow fifty,yellow > 50,0.7681526,<m> yellow = 50 </m>,1
60,fifty yellow fifty,yellow != 50,0.39141318,<m> yellow = 50 </m>,1
0,green twenty,green = 20,0.8699702,<m> green = 20 </m>,8
1,green twenty,green != 20,0.03745815,<m> green = 20 </m>,8
2,green twenty,green > 20,0.030598745,<m> green = 20 </m>,8
3,green twenty,green < 20,0.028621295,<m> green = 20 </m>,8
4,twenty purple block 's thirty,purple = 30,0.85915023,<m> purple = 30 </m>,8
5,twenty purple block 's thirty,purple = 20,0.85830677,<m> purple = 30 </m>,8
6,twenty purple block 's thirty,"purple = 10, red = 30",0.49832585,<m> purple = 30 </m>,8
7,twenty purple block 's thirty,"green = 20, purple = 30",0.49810526,<m> purple = 30 </m>,8
8,twenty purple block 's thirty,"purple = 30, red = 30",0.48004416,<m> purple = 30 </m>,8
9,oh yellow block 's forty,yellow = 40,0.77189434,<m> yellow > 40 </m>,8
10,oh yellow block 's forty,yellow != 40,0.094907634,<m> yellow > 40 </m>,8
11,oh yellow block 's forty,yellow > 40,0.036047287,<m> yellow > 40 </m>,8
12,oh yellow block 's forty,yellow < 40,0.03464451,<m> yellow > 40 </m>,8
13,Between forty fifty,green = 50,0.8920896,<m> yellow < 50 </m>,8
14,Between forty fifty,blue = 50,0.8879031,<m> yellow < 50 </m>,8
15,Between forty fifty,red = 50,0.8876736,<m> yellow < 50 </m>,8
16,Between forty fifty,yellow = 50,0.8831936,<m> yellow < 50 </m>,8
17,Between forty fifty,purple = 50,0.88034606,<m> yellow < 50 </m>,8
18,But n't less fifty actually,red = 50,0.85134435,<m> yellow > 50 </m>,8
19,But n't less fifty actually,yellow = 50,0.8402635,<m> yellow > 50 </m>,8
20,But n't less fifty actually,purple = 50,0.8396993,<m> yellow > 50 </m>,8
21,But n't less fifty actually,blue = 50,0.8367877,<m> yellow > 50 </m>,8
22,But n't less fifty actually,green = 50,0.8181137,<m> yellow > 50 </m>,8
23,Fifty heavy,purple = 50,0.8256395,<m> yellow < 50 </m>,8
24,Fifty heavy,green = 50,0.79134274,<m> yellow < 50 </m>,8
25,Fifty heavy,blue = 50,0.78231627,<m> yellow < 50 </m>,8
26,Fifty heavy,yellow = 50,0.7660643,<m> yellow < 50 </m>,8
27,Fifty heavy,red = 50,0.76565075,<m> yellow < 50 </m>,8
28,yellow block 's forty one,yellow = 40,0.78769624,<m> yellow = 40 </m>,8
29,yellow block 's forty one,yellow != 40,0.09265098,<m> yellow = 40 </m>,8
30,yellow block 's forty one,yellow < 40,0.040708497,<m> yellow = 40 </m>,8
31,yellow block 's forty one,yellow > 40,0.040585447,<m> yellow = 40 </m>,8
32,minus one yellow block forty nine,blue = purple + yellow,0.895328,<m> yellow = 50 </m>,8
33,minus one yellow block forty nine,yellow = blue + purple,0.89442754,<m> yellow = 50 </m>,8
34,minus one yellow block forty nine,blue = green + yellow,0.8936019,<m> yellow = 50 </m>,8
35,minus one yellow block forty nine,green = blue + yellow,0.8927251,<m> yellow = 50 </m>,8
36,minus one yellow block forty nine,blue = red + yellow,0.89260876,<m> yellow = 50 </m>,8
37,yellow block 's probably meant fifty placed differently,yellow = 50,0.5732362,<m> yellow = 50 </m>,8
38,yellow block 's probably meant fifty placed differently,yellow != 50,0.39574748,<m> yellow = 50 </m>,8
39,yellow block 's probably meant fifty placed differently,yellow < 50,0.30410558,<m> yellow = 50 </m>,8
40,yellow block 's probably meant fifty placed differently,yellow > 50,0.2784866,<m> yellow = 50 </m>,8
0,The red cube ten grams,red = 10,0.88107526,<m> red = 10 </m>,9
1,The red cube ten grams,red < 10,0.06611374,<m> red = 10 </m>,9
2,The red cube ten grams,red != 10,0.06336283,<m> red = 10 </m>,9
3,The red cube ten grams,red > 10,0.06182424,<m> red = 10 </m>,9
4,"would red block , blue block 's equal probably",blue > red,0.8740243,<m> blue = red </m>,9
5,"would red block , blue block 's equal probably",blue != red,0.8409206,<m> blue = red </m>,9
6,"would red block , blue block 's equal probably",blue = red,0.83807814,<m> blue = red </m>,9
7,"would red block , blue block 's equal probably",red > blue,0.83211976,<m> blue = red </m>,9
8,"would red block , blue block 's equal probably",blue < red,0.7446523,<m> blue = red </m>,9
9,"red block , blue block , green block 's probably equal",blue < green + red,0.8985579,<m> green = blue + red </m>,9
10,"red block , blue block , green block 's probably equal",green != blue + red,0.8980801,<m> green = blue + red </m>,9
11,"red block , blue block , green block 's probably equal",green < blue + red,0.8980615,<m> green = blue + red </m>,9
12,"red block , blue block , green block 's probably equal",blue > green + red,0.89701754,<m> green = blue + red </m>,9
13,"red block , blue block , green block 's probably equal",blue != green + red,0.8967991,<m> green = blue + red </m>,9
14,So got ten ten,purple = 10,0.87811637,"<m> blue = 10, red = 10 </m>",9
15,So got ten ten,blue = 10,0.8701211,"<m> blue = 10, red = 10 </m>",9
16,So got ten ten,yellow = 10,0.8645164,"<m> blue = 10, red = 10 </m>",9
17,So got ten ten,green = 10,0.839605,"<m> blue = 10, red = 10 </m>",9
18,So got ten ten,red = 10,0.8389981,"<m> blue = 10, red = 10 </m>",9
19,"green block , blue block twenty ten right","blue = 10, green = 20",0.19222763,"<m> blue = 10, green = 20 </m>",9
20,"green block , blue block twenty ten right","blue = 20, green = 10",0.18909976,"<m> blue = 10, green = 20 </m>",9
21,Look thirty gram block,green = 30,0.8799778,<m> purple = 30 </m>,9
22,Look thirty gram block,purple = 30,0.8799631,<m> purple = 30 </m>,9
23,Look thirty gram block,blue = 30,0.8790333,<m> purple = 30 </m>,9
24,Look thirty gram block,red = 30,0.8789299,<m> purple = 30 </m>,9
25,Look thirty gram block,yellow = 30,0.87823236,<m> purple = 30 </m>,9
26,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",purple != green + yellow,0.9018506,<m> yellow = green + purple </m>,9
27,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",green > purple + yellow,0.9018421,<m> yellow = green + purple </m>,9
28,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",green != purple + yellow,0.9014853,<m> yellow = green + purple </m>,9
29,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",purple > green + yellow,0.9006636,<m> yellow = green + purple </m>,9
30,"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",yellow > green + purple,0.8998972,<m> yellow = green + purple </m>,9
31,purple block one thirty yellow block fifty less,"purple = 30, yellow = 50",0.33945096,"<m> purple = 30, yellow = 50 </m>",9
32,purple block one thirty yellow block fifty less,"purple = 50, yellow = 30",0.31558585,"<m> purple = 30, yellow = 50 </m>",9
0,I tell red cube ten grams,red = 10,0.85209024,<m> red = 10 </m>,4
1,I tell red cube ten grams,red > 10,0.05441031,<m> red = 10 </m>,4
2,I tell red cube ten grams,red < 10,0.054263756,<m> red = 10 </m>,4
3,I tell red cube ten grams,red != 10,0.05313553,<m> red = 10 </m>,4
4,Well top ten,red = 10,0.8322146,<m> blue = 10 </m>,4
5,Well top ten,green = 10,0.82694185,<m> blue = 10 </m>,4
6,Well top ten,yellow = 10,0.794932,<m> blue = 10 </m>,4
7,Well top ten,blue = 10,0.78747606,<m> blue = 10 </m>,4
8,Well top ten,purple = 10,0.7167139,<m> blue = 10 </m>,4
9,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",green = blue + purple + red + yellow,0.8685595,<m> green = 20 </m>,4
10,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",purple = blue + green + red + yellow,0.86849445,<m> green = 20 </m>,4
11,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",blue = green + purple + red + yellow,0.86846775,<m> green = 20 </m>,4
12,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",blue = purple + red + yellow,0.86789316,<m> green = 20 </m>,4
13,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",yellow = blue + green + purple + red,0.86755025,<m> green = 20 </m>,4
14,n't drop completely consider purple block thirty ’ drop,purple = 30,0.6529368,<m> purple != 40 </m>,4
15,n't drop completely consider purple block thirty ’ drop,purple > 30,0.10179505,<m> purple != 40 </m>,4
16,n't drop completely consider purple block thirty ’ drop,purple != 30,0.09062973,<m> purple != 40 </m>,4
17,n't drop completely consider purple block thirty ’ drop,purple < 30,0.0802494,<m> purple != 40 </m>,4
18,n't drop completely consider purple block thirty ’ drop,"purple = 10, red = 10",0.868948,<m> purple != 40 </m>,4
19,n't drop completely consider purple block thirty ’ drop,purple = blue + green + red + yellow,0.86805826,<m> purple != 40 </m>,4
20,n't drop completely consider purple block thirty ’ drop,"purple = 10, yellow = 10",0.8679732,<m> purple != 40 </m>,4
21,n't drop completely consider purple block thirty ’ drop,green = blue + purple + red + yellow,0.8671212,<m> purple != 40 </m>,4
22,n't drop completely consider purple block thirty ’ drop,blue = green + purple + red + yellow,0.86642337,<m> purple != 40 </m>,4
23,purple block 's purple block 's twenty purple block 's got ta thirty,purple = 30,0.8667783,<m> purple = 30 </m>,4
24,purple block 's purple block 's twenty purple block 's got ta thirty,purple = 20,0.8649323,<m> purple = 30 </m>,4
25,purple block 's purple block 's twenty purple block 's got ta thirty,purple < 30,0.79157484,<m> purple = 30 </m>,4
26,purple block 's purple block 's twenty purple block 's got ta thirty,purple > 30,0.7332635,<m> purple = 30 </m>,4
27,purple block 's purple block 's twenty purple block 's got ta thirty,purple < 20,0.70438546,<m> purple = 30 </m>,4
28,purple block 's purple block 's twenty purple block 's got ta thirty,purple = 30,0.8667783,<m> purple = 30 </m>,4
29,purple block 's purple block 's twenty purple block 's got ta thirty,purple = 20,0.8649323,<m> purple = 30 </m>,4
30,purple block 's purple block 's twenty purple block 's got ta thirty,purple < 30,0.79157484,<m> purple = 30 </m>,4
31,purple block 's purple block 's twenty purple block 's got ta thirty,purple > 30,0.7332635,<m> purple = 30 </m>,4
32,purple block 's purple block 's twenty purple block 's got ta thirty,purple < 20,0.70438546,<m> purple = 30 </m>,4
33,yellow red blue 's 's,purple = blue + green + yellow,0.86909044,<m> yellow = 50 </m>,4
34,yellow red blue 's 's,green = blue + purple + yellow,0.86900026,<m> yellow = 50 </m>,4
35,yellow red blue 's 's,blue = green + purple + yellow,0.86898106,<m> yellow = 50 </m>,4
36,yellow red blue 's 's,purple = blue + green + red + yellow,0.86895066,<m> yellow = 50 </m>,4
37,yellow red blue 's 's,blue = green + purple + red,0.8689167,<m> yellow = 50 </m>,4
38,blue ten,blue = 10,0.4808091,<m> blue = 10 </m>,4
39,blue ten,blue > 10,0.08830789,<m> blue = 10 </m>,4
40,blue ten,blue != 10,0.08441165,<m> blue = 10 </m>,4
41,blue ten,blue < 10,0.07152946,<m> blue = 10 </m>,4
42,would yellow fifty,yellow = 50,0.83063626,<m> yellow = 50 </m>,4
43,would yellow fifty,yellow < 50,0.07806725,<m> yellow = 50 </m>,4
44,would yellow fifty,yellow > 50,0.06455153,<m> yellow = 50 </m>,4
45,would yellow fifty,yellow != 50,0.060695447,<m> yellow = 50 </m>,4
