Transcript,Ground truth,Correct,Top 1 prop,Top 1 cosim,Top 2 prop,Top 2 cosim,Top 3 prop,Top 3 cosim,Top 4 prop,Top 4 cosim,Top 5 prop,Top 5 cosim,Top 6 prop,Top 6 cosim,Top 7 prop,Top 7 cosim,Top 8 prop,Top 8 cosim,Top 9 prop,Top 9 cosim,Top 10 prop,Top 10 cosim
red block would nine minus ten,red = 10,1,red = 10,0.9658004,red = 10,0.84764004,red = 10,0.84764004,red = 10,0.84764004,red = 10,0.84764004,red = 10,0.84764004,red = 10,0.84764004,red = 10,0.84764004,red = 10,0.84764004,red = 10,0.84764004
red small blue ten,"blue = 10, red = 10",1,"blue = 10, red = 10",0.6532097,"blue = 10, red = 10",0.6532097,"blue = 10, red = 10",0.6532097,"blue = 10, red = 10",0.6532097,"blue = 10, red = 10",0.6532097,"blue = 10, red = 10",0.6532097,"blue = 10, red = 10",0.6532097,"blue = 10, red = 10",0.6532097,"blue = 10, red = 10",0.6532097,"blue = 10, red = 10",0.6532097
"right green block 's twenty red block , blue block two ten","blue = 10, green = 20, red = 10",1,"blue = 10, green = 20, red = 10",0.4722671,"blue = 10, green = 20, red = 10",0.4722671,"blue = 20, green = 10, red = 10",0.45722967,"blue = 20, green = 10, red = 10",0.45722967,"blue = 10, green = 10, red = 20",0.4051598,"blue = 10, green = 10, red = 20",0.4051598,"blue = 20, green = 10, red = 20",0.31113833,"blue = 20, green = 10, red = 20",0.31113833,"blue = 10, green = 20, red = 20",0.30734622,"blue = 10, green = 20, red = 20",0.30734622
"scale red block , blue block ten","blue = 10, red = 10",1,"blue = 10, red = 10",0.34342268,"blue = 10, red = 10",0.34342268,"blue = 10, red = 10",0.34342268,"blue = 10, red = 10",0.34342268,"blue = 10, red = 10",0.34342268,"blue = 10, red = 10",0.34342268,"blue = 10, red = 10",0.34342268,"blue = 10, red = 10",0.34342268,"blue = 10, red = 10",0.34342268,"blue = 10, red = 10",0.34342268
"seems red block , blue block might",blue = red,1,blue = red,0.90770966,blue = red,0.90770966,blue = red,0.90770966,blue = red,0.90770966,blue = red,0.90770966,blue = red,0.90770966,blue = red,0.90770966,blue = red,0.90770966,blue = red,0.90770966,blue = red,0.90770966
sufficient green block one 's probably twenty,green = 20,1,green = 20,0.9244613,green = 20,0.72811973,green = 20,0.72811973,green = 20,0.72811973,green = 20,0.72811973,green = 20,0.72811973,green = 20,0.72811973,green = 20,0.72811973,green = 20,0.72811973,green = 20,0.72811973
teeter teeter purple block 's less forty greater twenty purple block 's likely thirty n't options purple block 's gon na thirty,purple = 30,71,"purple = 10, red = 30",0.88787794,"purple = 10, red = 30",0.88787794,"purple = 10, red = 30",0.88787794,"purple = 10, red = 30",0.88787794,"purple = 10, red = 30",0.88787794,"purple = 10, red = 30",0.88787794,"purple = 10, red = 30",0.88787794,"purple = 10, red = 30",0.88787794,"purple = 10, red = 30",0.88787794,"purple = 10, red = 30",0.88787794
"thirty fourty fifty correct purple block , green block 's still heavier yellow block thing",yellow < 50,0,purple != blue + green + red + yellow,0.9699293,purple != blue + green + red,0.969732,yellow != blue + green + purple + red,0.96969867,blue != green + purple + red + yellow,0.9695332,red != blue + green + purple + yellow,0.9689418,blue != green + red,0.8748627,blue != green + red,0.8748627,blue != green + red,0.8748627,blue != green + red,0.8748627,blue != green + red,0.8748627
"try purple block , green block",yellow > blue + green + red,0,yellow = green + purple,0.9197329,yellow = green + purple,0.9197329,yellow = green + purple,0.9197329,yellow = green + purple,0.9197329,yellow = green + purple,0.9197329,yellow = green + purple,0.9197329,yellow = green + purple,0.9197329,yellow = green + purple,0.9197329,yellow = green + purple,0.9197329,yellow = green + purple,0.9197329
twenty purple block 's thirty,purple = 30,1,purple = 30,0.8707528,purple = 30,0.8707528,purple = 30,0.8707528,purple = 30,0.8707528,purple = 30,0.8707528,purple = 30,0.8707528,purple = 30,0.8707528,purple = 30,0.8707528,purple = 30,0.8707528,purple = 30,0.8707528
"would red block , blue block 's equal probably",blue = red,1,blue = red,0.8927096,blue = red,0.8927096,blue = red,0.8927096,blue = red,0.8927096,blue = red,0.8927096,blue = red,0.8927096,blue = red,0.8927096,blue = red,0.8927096,blue = red,0.8927096,blue = red,0.8927096
would yellow fifty,yellow = 50,1,yellow = 50,0.83063626,yellow = 50,0.78314066,yellow = 50,0.78314066,yellow = 50,0.78314066,yellow = 50,0.78314066,yellow = 50,0.78314066,yellow = 50,0.78314066,yellow = 50,0.78314066,yellow = 50,0.78314066,yellow = 50,0.78314066
would yellow forty five could fifty since 're,yellow = 50,1,yellow = 50,0.8878468,yellow = 50,0.8878468,yellow = 50,0.8878468,yellow = 50,0.8878468,yellow = 50,0.8878468,yellow = 50,0.8878468,yellow = 50,0.8878468,yellow = 50,0.8878468,yellow = 50,0.8878468,yellow = 50,0.8878468
yellow block 's forty one,yellow = 40,1,yellow = 40,0.90020096,yellow = 40,0.90020096,yellow = 40,0.90020096,yellow = 40,0.90020096,yellow = 40,0.90020096,yellow = 40,0.90020096,yellow = 40,0.90020096,yellow = 40,0.90020096,yellow = 40,0.90020096,yellow = 40,0.90020096
yellow block 's probably meant fifty placed differently,yellow = 50,1,yellow = 50,0.85302466,yellow = 50,0.85302466,yellow = 50,0.85302466,yellow = 50,0.85302466,yellow = 50,0.85302466,yellow = 50,0.85302466,yellow = 50,0.85302466,yellow = 50,0.85302466,yellow = 50,0.85302466,yellow = 50,0.85302466
yellow block 's sure thirty,yellow != 30,46,yellow = 30,0.90830594,yellow = 30,0.854902,yellow = 30,0.854902,yellow = 30,0.854902,yellow = 30,0.854902,yellow = 30,0.854902,yellow = 30,0.854902,yellow = 30,0.854902,yellow = 30,0.854902,yellow = 30,0.854902
yellow block fifty,"purple = 30, yellow = 50",0,purple = blue + green + yellow,0.9081596,purple = blue + green + yellow,0.9081596,purple = blue + green + yellow,0.9081596,purple = blue + green + yellow,0.9081596,purple = blue + green + yellow,0.9081596,purple = blue + green + yellow,0.9081596,purple = blue + green + yellow,0.9081596,purple = blue + green + yellow,0.9081596,purple = blue + green + yellow,0.9081596,purple = blue + green + yellow,0.9081596
yellow block fifty purple block thirty,"purple = 30, yellow = 50",15,"purple = 50, yellow = 30",0.5520432,"purple = 50, yellow = 30",0.5520432,"purple = 50, yellow = 30",0.5520432,"purple = 50, yellow = 30",0.5520432,"purple = 50, yellow = 30",0.5520432,"purple = 50, yellow = 30",0.5520432,"purple = 50, yellow = 30",0.5520432,"purple = 50, yellow = 30",0.5520432,"purple = 50, yellow = 30",0.5520432,"purple = 50, yellow = 30",0.5520432
yellow block less fifty less fifty,yellow < 50,30,yellow = 50,0.9283359,yellow = 50,0.9162315,yellow = 50,0.9162315,yellow = 50,0.90511787,yellow = 50,0.90511787,yellow = 50,0.90511787,yellow = 50,0.90511787,yellow = 50,0.90511787,yellow = 50,0.90511787,yellow = 50,0.90511787
"yellow block must red block , blue block , purple block right comparing yellow block forty yellow block 's",yellow = 50,0,blue != purple + red + yellow,0.9298483,purple != blue + red + yellow,0.9298483,red < blue + purple + yellow,0.9298482,green != blue + red + yellow,0.9298481,blue != green + red + yellow,0.92984784,blue = green + purple + yellow,0.9134084,blue = green + purple + yellow,0.9134084,blue = green + purple + yellow,0.9134084,blue = green + purple + yellow,0.9134084,blue = green + purple + yellow,0.9134084
yellow course ten,yellow != 10,30,yellow = 10,0.86291236,yellow = 10,0.8104799,yellow = 10,0.8104799,yellow = 10,0.8104799,yellow = 10,0.8104799,yellow = 10,0.8104799,yellow = 10,0.8104799,yellow = 10,0.8104799,yellow = 10,0.8104799,yellow = 10,0.8104799
yellow red blue 's 's,yellow = 50,0,green > blue + purple + red,0.8722307,green > blue + purple + red,0.8722307,green > blue + purple + red,0.8722307,green > blue + purple + red,0.8722307,green > blue + purple + red,0.8722307,green > blue + purple + red,0.8722307,green > blue + purple + red,0.8722307,green > blue + purple + red,0.8722307,green > blue + purple + red,0.8722307,green > blue + purple + red,0.8722307
