,Propositions
1354,"blue = 30 , purple = 10 , yellow = 50"
1355,"blue = 30 , purple = 20 , yellow = 10"
1356,"blue = 30 , purple = 20 , yellow = 20"
1357,"blue = 30 , purple = 20 , yellow = 30"
1358,"blue = 30 , purple = 20 , yellow = 40"
1359,"blue = 30 , purple = 20 , yellow = 50"
1360,"blue = 30 , purple = 30 , yellow = 10"
1361,"blue = 30 , purple = 30 , yellow = 20"
1362,"blue = 30 , purple = 30 , yellow = 30"
1363,"blue = 30 , purple = 30 , yellow = 40"
1364,"blue = 30 , purple = 30 , yellow = 50"
1365,"blue = 30 , purple = 40 , yellow = 10"
1366,"blue = 30 , purple = 40 , yellow = 20"
1367,"blue = 30 , purple = 40 , yellow = 30"
1368,"blue = 30 , purple = 40 , yellow = 40"
1369,"blue = 30 , purple = 40 , yellow = 50"
1370,"blue = 30 , purple = 50 , yellow = 10"
1371,"blue = 30 , purple = 50 , yellow = 20"
1372,"blue = 30 , purple = 50 , yellow = 30"
1373,"blue = 30 , purple = 50 , yellow = 40"
1374,"blue = 30 , purple = 50 , yellow = 50"
1375,"blue = 40 , green = 10 , purple = 10"
1376,"blue = 40 , green = 10 , purple = 20"
1377,"blue = 40 , green = 10 , purple = 30"
1378,"blue = 40 , green = 10 , purple = 40"
1379,"blue = 40 , green = 10 , purple = 50"
1380,"blue = 40 , green = 10 , yellow = 10"
1381,"blue = 40 , green = 10 , yellow = 20"
1382,"blue = 40 , green = 10 , yellow = 30"
1383,"blue = 40 , green = 10 , yellow = 40"
1384,"blue = 40 , green = 10 , yellow = 50"
1385,"blue = 40 , green = 20 , purple = 10"
1386,"blue = 40 , green = 20 , purple = 20"
1387,"blue = 40 , green = 20 , purple = 30"
1388,"blue = 40 , green = 20 , purple = 40"
1389,"blue = 40 , green = 20 , purple = 50"
1390,"blue = 40 , green = 20 , yellow = 10"
1391,"blue = 40 , green = 20 , yellow = 20"
1392,"blue = 40 , green = 20 , yellow = 30"
1393,"blue = 40 , green = 20 , yellow = 40"
1394,"blue = 40 , green = 20 , yellow = 50"
1395,"blue = 40 , green = 30 , purple = 10"
1396,"blue = 40 , green = 30 , purple = 20"
1397,"blue = 40 , green = 30 , purple = 30"
1398,"blue = 40 , green = 30 , purple = 40"
1399,"blue = 40 , green = 30 , purple = 50"
1400,"blue = 40 , green = 30 , yellow = 10"
1401,"blue = 40 , green = 30 , yellow = 20"
1402,"blue = 40 , green = 30 , yellow = 30"
1403,"blue = 40 , green = 30 , yellow = 40"
1404,"blue = 40 , green = 30 , yellow = 50"
1405,"blue = 40 , green = 40 , purple = 10"
1406,"blue = 40 , green = 40 , purple = 20"
1407,"blue = 40 , green = 40 , purple = 30"
1408,"blue = 40 , green = 40 , purple = 40"
1409,"blue = 40 , green = 40 , purple = 50"
1410,"blue = 40 , green = 40 , yellow = 10"
1411,"blue = 40 , green = 40 , yellow = 20"
1412,"blue = 40 , green = 40 , yellow = 30"
1413,"blue = 40 , green = 40 , yellow = 40"
1414,"blue = 40 , green = 40 , yellow = 50"
1415,"blue = 40 , green = 50 , purple = 10"
1416,"blue = 40 , green = 50 , purple = 20"
1417,"blue = 40 , green = 50 , purple = 30"
1418,"blue = 40 , green = 50 , purple = 40"
1419,"blue = 40 , green = 50 , purple = 50"
1420,"blue = 40 , green = 50 , yellow = 10"
1421,"blue = 40 , green = 50 , yellow = 20"
1422,"blue = 40 , green = 50 , yellow = 30"
1423,"blue = 40 , green = 50 , yellow = 40"
1424,"blue = 40 , green = 50 , yellow = 50"
1425,"blue = 40 , purple = 10 , yellow = 10"
1426,"blue = 40 , purple = 10 , yellow = 20"
1427,"blue = 40 , purple = 10 , yellow = 30"
1428,"blue = 40 , purple = 10 , yellow = 40"
1429,"blue = 40 , purple = 10 , yellow = 50"
1430,"blue = 40 , purple = 20 , yellow = 10"
1431,"blue = 40 , purple = 20 , yellow = 20"
1432,"blue = 40 , purple = 20 , yellow = 30"
1433,"blue = 40 , purple = 20 , yellow = 40"
1434,"blue = 40 , purple = 20 , yellow = 50"
1435,"blue = 40 , purple = 30 , yellow = 10"
1436,"blue = 40 , purple = 30 , yellow = 20"
1437,"blue = 40 , purple = 30 , yellow = 30"
1438,"blue = 40 , purple = 30 , yellow = 40"
1439,"blue = 40 , purple = 30 , yellow = 50"
1440,"blue = 40 , purple = 40 , yellow = 10"
1441,"blue = 40 , purple = 40 , yellow = 20"
1442,"blue = 40 , purple = 40 , yellow = 30"
1443,"blue = 40 , purple = 40 , yellow = 40"
1444,"blue = 40 , purple = 40 , yellow = 50"
1445,"blue = 40 , purple = 50 , yellow = 10"
1446,"blue = 40 , purple = 50 , yellow = 20"
1447,"blue = 40 , purple = 50 , yellow = 30"
1448,"blue = 40 , purple = 50 , yellow = 40"
1449,"blue = 40 , purple = 50 , yellow = 50"
1450,"blue = 50 , green = 10 , purple = 10"
1451,"blue = 50 , green = 10 , purple = 20"
1452,"blue = 50 , green = 10 , purple = 30"
1453,"blue = 50 , green = 10 , purple = 40"
1454,"blue = 50 , green = 10 , purple = 50"
1455,"blue = 50 , green = 10 , yellow = 10"
1456,"blue = 50 , green = 10 , yellow = 20"
1457,"blue = 50 , green = 10 , yellow = 30"
1458,"blue = 50 , green = 10 , yellow = 40"
1459,"blue = 50 , green = 10 , yellow = 50"
1460,"blue = 50 , green = 20 , purple = 10"
1461,"blue = 50 , green = 20 , purple = 20"
1462,"blue = 50 , green = 20 , purple = 30"
1463,"blue = 50 , green = 20 , purple = 40"
1464,"blue = 50 , green = 20 , purple = 50"
1465,"blue = 50 , green = 20 , yellow = 10"
1466,"blue = 50 , green = 20 , yellow = 20"
1467,"blue = 50 , green = 20 , yellow = 30"
1468,"blue = 50 , green = 20 , yellow = 40"
1469,"blue = 50 , green = 20 , yellow = 50"
1470,"blue = 50 , green = 30 , purple = 10"
1471,"blue = 50 , green = 30 , purple = 20"
1472,"blue = 50 , green = 30 , purple = 30"
1473,"blue = 50 , green = 30 , purple = 40"
1474,"blue = 50 , green = 30 , purple = 50"
1475,"blue = 50 , green = 30 , yellow = 10"
1476,"blue = 50 , green = 30 , yellow = 20"
1477,"blue = 50 , green = 30 , yellow = 30"
1478,"blue = 50 , green = 30 , yellow = 40"
1479,"blue = 50 , green = 30 , yellow = 50"
1480,"blue = 50 , green = 40 , purple = 10"
1481,"blue = 50 , green = 40 , purple = 20"
1482,"blue = 50 , green = 40 , purple = 30"
1483,"blue = 50 , green = 40 , purple = 40"
1484,"blue = 50 , green = 40 , purple = 50"
1485,"blue = 50 , green = 40 , yellow = 10"
1486,"blue = 50 , green = 40 , yellow = 20"
1487,"blue = 50 , green = 40 , yellow = 30"
1488,"blue = 50 , green = 40 , yellow = 40"
1489,"blue = 50 , green = 40 , yellow = 50"
1490,"blue = 50 , green = 50 , purple = 10"
1491,"blue = 50 , green = 50 , purple = 20"
1492,"blue = 50 , green = 50 , purple = 30"
1493,"blue = 50 , green = 50 , purple = 40"
1494,"blue = 50 , green = 50 , purple = 50"
1495,"blue = 50 , green = 50 , yellow = 10"
1496,"blue = 50 , green = 50 , yellow = 20"
1497,"blue = 50 , green = 50 , yellow = 30"
1498,"blue = 50 , green = 50 , yellow = 40"
1499,"blue = 50 , green = 50 , yellow = 50"
1500,"blue = 50 , purple = 10 , yellow = 10"
1501,"blue = 50 , purple = 10 , yellow = 20"
1502,"blue = 50 , purple = 10 , yellow = 30"
1503,"blue = 50 , purple = 10 , yellow = 40"
1504,"blue = 50 , purple = 10 , yellow = 50"
1505,"blue = 50 , purple = 20 , yellow = 10"
1506,"blue = 50 , purple = 20 , yellow = 20"
1507,"blue = 50 , purple = 20 , yellow = 30"
1508,"blue = 50 , purple = 20 , yellow = 40"
1509,"blue = 50 , purple = 20 , yellow = 50"
1510,"blue = 50 , purple = 30 , yellow = 10"
1511,"blue = 50 , purple = 30 , yellow = 20"
1512,"blue = 50 , purple = 30 , yellow = 30"
1513,"blue = 50 , purple = 30 , yellow = 40"
1514,"blue = 50 , purple = 30 , yellow = 50"
1515,"blue = 50 , purple = 40 , yellow = 10"
1516,"blue = 50 , purple = 40 , yellow = 20"
1517,"blue = 50 , purple = 40 , yellow = 30"
1518,"blue = 50 , purple = 40 , yellow = 40"
1519,"blue = 50 , purple = 40 , yellow = 50"
1520,"blue = 50 , purple = 50 , yellow = 10"
1521,"blue = 50 , purple = 50 , yellow = 20"
1522,"blue = 50 , purple = 50 , yellow = 30"
1523,"blue = 50 , purple = 50 , yellow = 40"
1524,"blue = 50 , purple = 50 , yellow = 50"
1525,"green = 10 , purple = 10 , yellow = 10"
1526,"green = 10 , purple = 10 , yellow = 20"
1527,"green = 10 , purple = 10 , yellow = 30"
1528,"green = 10 , purple = 10 , yellow = 40"
1529,"green = 10 , purple = 10 , yellow = 50"
1530,"green = 10 , purple = 20 , yellow = 10"
1531,"green = 10 , purple = 20 , yellow = 20"
1532,"green = 10 , purple = 20 , yellow = 30"
1533,"green = 10 , purple = 20 , yellow = 40"
1534,"green = 10 , purple = 20 , yellow = 50"
1535,"green = 10 , purple = 30 , yellow = 10"
1536,"green = 10 , purple = 30 , yellow = 20"
1537,"green = 10 , purple = 30 , yellow = 30"
1538,"green = 10 , purple = 30 , yellow = 40"
1539,"green = 10 , purple = 30 , yellow = 50"
1540,"green = 10 , purple = 40 , yellow = 10"
1541,"green = 10 , purple = 40 , yellow = 20"
1542,"green = 10 , purple = 40 , yellow = 30"
1543,"green = 10 , purple = 40 , yellow = 40"
1544,"green = 10 , purple = 40 , yellow = 50"
1545,"green = 10 , purple = 50 , yellow = 10"
1546,"green = 10 , purple = 50 , yellow = 20"
1547,"green = 10 , purple = 50 , yellow = 30"
1548,"green = 10 , purple = 50 , yellow = 40"
1549,"green = 10 , purple = 50 , yellow = 50"
1550,"green = 20 , purple = 10 , yellow = 10"
1551,"green = 20 , purple = 10 , yellow = 20"
1552,"green = 20 , purple = 10 , yellow = 30"
1553,"green = 20 , purple = 10 , yellow = 40"
1554,"green = 20 , purple = 10 , yellow = 50"
1555,"green = 20 , purple = 20 , yellow = 10"
1556,"green = 20 , purple = 20 , yellow = 20"
1557,"green = 20 , purple = 20 , yellow = 30"
1558,"green = 20 , purple = 20 , yellow = 40"
1559,"green = 20 , purple = 20 , yellow = 50"
1560,"green = 20 , purple = 30 , yellow = 10"
1561,"green = 20 , purple = 30 , yellow = 20"
1562,"green = 20 , purple = 30 , yellow = 30"
1563,"green = 20 , purple = 30 , yellow = 40"
1564,"green = 20 , purple = 30 , yellow = 50"
1565,"green = 20 , purple = 40 , yellow = 10"
1566,"green = 20 , purple = 40 , yellow = 20"
1567,"green = 20 , purple = 40 , yellow = 30"
1568,"green = 20 , purple = 40 , yellow = 40"
1569,"green = 20 , purple = 40 , yellow = 50"
1570,"green = 20 , purple = 50 , yellow = 10"
1571,"green = 20 , purple = 50 , yellow = 20"
1572,"green = 20 , purple = 50 , yellow = 30"
1573,"green = 20 , purple = 50 , yellow = 40"
1574,"green = 20 , purple = 50 , yellow = 50"
1575,"green = 30 , purple = 10 , yellow = 10"
1576,"green = 30 , purple = 10 , yellow = 20"
1577,"green = 30 , purple = 10 , yellow = 30"
1578,"green = 30 , purple = 10 , yellow = 40"
1579,"green = 30 , purple = 10 , yellow = 50"
1580,"green = 30 , purple = 20 , yellow = 10"
1581,"green = 30 , purple = 20 , yellow = 20"
1582,"green = 30 , purple = 20 , yellow = 30"
1583,"green = 30 , purple = 20 , yellow = 40"
1584,"green = 30 , purple = 20 , yellow = 50"
1585,"green = 30 , purple = 30 , yellow = 10"
1586,"green = 30 , purple = 30 , yellow = 20"
1587,"green = 30 , purple = 30 , yellow = 30"
1588,"green = 30 , purple = 30 , yellow = 40"
1589,"green = 30 , purple = 30 , yellow = 50"
1590,"green = 30 , purple = 40 , yellow = 10"
1591,"green = 30 , purple = 40 , yellow = 20"
1592,"green = 30 , purple = 40 , yellow = 30"
1593,"green = 30 , purple = 40 , yellow = 40"
1594,"green = 30 , purple = 40 , yellow = 50"
1595,"green = 30 , purple = 50 , yellow = 10"
1596,"green = 30 , purple = 50 , yellow = 20"
1597,"green = 30 , purple = 50 , yellow = 30"
1598,"green = 30 , purple = 50 , yellow = 40"
1599,"green = 30 , purple = 50 , yellow = 50"
1600,"green = 40 , purple = 10 , yellow = 10"
1601,"green = 40 , purple = 10 , yellow = 20"
1602,"green = 40 , purple = 10 , yellow = 30"
1603,"green = 40 , purple = 10 , yellow = 40"
1604,"green = 40 , purple = 10 , yellow = 50"
1605,"green = 40 , purple = 20 , yellow = 10"
1606,"green = 40 , purple = 20 , yellow = 20"
1607,"green = 40 , purple = 20 , yellow = 30"
1608,"green = 40 , purple = 20 , yellow = 40"
1609,"green = 40 , purple = 20 , yellow = 50"
1610,"green = 40 , purple = 30 , yellow = 10"
1611,"green = 40 , purple = 30 , yellow = 20"
1612,"green = 40 , purple = 30 , yellow = 30"
1613,"green = 40 , purple = 30 , yellow = 40"
1614,"green = 40 , purple = 30 , yellow = 50"
1615,"green = 40 , purple = 40 , yellow = 10"
1616,"green = 40 , purple = 40 , yellow = 20"
1617,"green = 40 , purple = 40 , yellow = 30"
1618,"green = 40 , purple = 40 , yellow = 40"
1619,"green = 40 , purple = 40 , yellow = 50"
1620,"green = 40 , purple = 50 , yellow = 10"
1621,"green = 40 , purple = 50 , yellow = 20"
1622,"green = 40 , purple = 50 , yellow = 30"
1623,"green = 40 , purple = 50 , yellow = 40"
1624,"green = 40 , purple = 50 , yellow = 50"
1625,"green = 50 , purple = 10 , yellow = 10"
1626,"green = 50 , purple = 10 , yellow = 20"
1627,"green = 50 , purple = 10 , yellow = 30"
1628,"green = 50 , purple = 10 , yellow = 40"
1629,"green = 50 , purple = 10 , yellow = 50"
1630,"green = 50 , purple = 20 , yellow = 10"
1631,"green = 50 , purple = 20 , yellow = 20"
1632,"green = 50 , purple = 20 , yellow = 30"
1633,"green = 50 , purple = 20 , yellow = 40"
1634,"green = 50 , purple = 20 , yellow = 50"
1635,"green = 50 , purple = 30 , yellow = 10"
1636,"green = 50 , purple = 30 , yellow = 20"
1637,"green = 50 , purple = 30 , yellow = 30"
1638,"green = 50 , purple = 30 , yellow = 40"
1639,"green = 50 , purple = 30 , yellow = 50"
1640,"green = 50 , purple = 40 , yellow = 10"
1641,"green = 50 , purple = 40 , yellow = 20"
1642,"green = 50 , purple = 40 , yellow = 30"
1643,"green = 50 , purple = 40 , yellow = 40"
1644,"green = 50 , purple = 40 , yellow = 50"
1645,"green = 50 , purple = 50 , yellow = 10"
1646,"green = 50 , purple = 50 , yellow = 20"
1647,"green = 50 , purple = 50 , yellow = 30"
1648,"green = 50 , purple = 50 , yellow = 40"
1649,"green = 50 , purple = 50 , yellow = 50"
1650,"red = 10 , blue = 10"
1651,"red = 10 , blue = 20"
1652,"red = 10 , blue = 30"
1653,"red = 10 , blue = 40"
1654,"red = 10 , blue = 50"
1655,"red = 10 , green = 10"
1656,"red = 10 , green = 20"
1657,"red = 10 , green = 30"
1658,"red = 10 , green = 40"
1659,"red = 10 , green = 50"
1660,"red = 10 , purple = 10"
1661,"red = 10 , purple = 20"
1662,"red = 10 , purple = 30"
1663,"red = 10 , purple = 40"
1664,"red = 10 , purple = 50"
1665,"red = 10 , yellow = 10"
1666,"red = 10 , yellow = 20"
1667,"red = 10 , yellow = 30"
1668,"red = 10 , yellow = 40"
1669,"red = 10 , yellow = 50"
1670,"red = 20 , blue = 10"
1671,"red = 20 , blue = 20"
1672,"red = 20 , blue = 30"
1673,"red = 20 , blue = 40"
1674,"red = 20 , blue = 50"
1675,"red = 20 , green = 10"
1676,"red = 20 , green = 20"
1677,"red = 20 , green = 30"
1678,"red = 20 , green = 40"
1679,"red = 20 , green = 50"
1680,"red = 20 , purple = 10"
1681,"red = 20 , purple = 20"
1682,"red = 20 , purple = 30"
1683,"red = 20 , purple = 40"
1684,"red = 20 , purple = 50"
1685,"red = 20 , yellow = 10"
1686,"red = 20 , yellow = 20"
1687,"red = 20 , yellow = 30"
1688,"red = 20 , yellow = 40"
1689,"red = 20 , yellow = 50"
1690,"red = 30 , blue = 10"
1691,"red = 30 , blue = 20"
1692,"red = 30 , blue = 30"
1693,"red = 30 , blue = 40"
1694,"red = 30 , blue = 50"
1695,"red = 30 , green = 10"
1696,"red = 30 , green = 20"
1697,"red = 30 , green = 30"
1698,"red = 30 , green = 40"
1699,"red = 30 , green = 50"
1700,"red = 30 , purple = 10"
1701,"red = 30 , purple = 20"
1702,"red = 30 , purple = 30"
1703,"red = 30 , purple = 40"
1704,"red = 30 , purple = 50"
1705,"red = 30 , yellow = 10"
1706,"red = 30 , yellow = 20"
1707,"red = 30 , yellow = 30"
1708,"red = 30 , yellow = 40"
1709,"red = 30 , yellow = 50"
1710,"red = 40 , blue = 10"
1711,"red = 40 , blue = 20"
1712,"red = 40 , blue = 30"
1713,"red = 40 , blue = 40"
1714,"red = 40 , blue = 50"
1715,"red = 40 , green = 10"
1716,"red = 40 , green = 20"
1717,"red = 40 , green = 30"
1718,"red = 40 , green = 40"
1719,"red = 40 , green = 50"
1720,"red = 40 , purple = 10"
1721,"red = 40 , purple = 20"
1722,"red = 40 , purple = 30"
1723,"red = 40 , purple = 40"
1724,"red = 40 , purple = 50"
1725,"red = 40 , yellow = 10"
1726,"red = 40 , yellow = 20"
1727,"red = 40 , yellow = 30"
1728,"red = 40 , yellow = 40"
1729,"red = 40 , yellow = 50"
1730,"red = 50 , blue = 10"
1731,"red = 50 , blue = 20"
1732,"red = 50 , blue = 30"
1733,"red = 50 , blue = 40"
1734,"red = 50 , blue = 50"
1735,"red = 50 , green = 10"
1736,"red = 50 , green = 20"
1737,"red = 50 , green = 30"
1738,"red = 50 , green = 40"
1739,"red = 50 , green = 50"
1740,"red = 50 , purple = 10"
1741,"red = 50 , purple = 20"
1742,"red = 50 , purple = 30"
1743,"red = 50 , purple = 40"
1744,"red = 50 , purple = 50"
1745,"red = 50 , yellow = 10"
1746,"red = 50 , yellow = 20"
1747,"red = 50 , yellow = 30"
1748,"red = 50 , yellow = 40"
1749,"red = 50 , yellow = 50"
1750,"blue = 10 , green = 10"
1751,"blue = 10 , green = 20"
1752,"blue = 10 , green = 30"
1753,"blue = 10 , green = 40"
1754,"blue = 10 , green = 50"
1755,"blue = 10 , purple = 10"
1756,"blue = 10 , purple = 20"
1757,"blue = 10 , purple = 30"
1758,"blue = 10 , purple = 40"
1759,"blue = 10 , purple = 50"
1760,"blue = 10 , yellow = 10"
1761,"blue = 10 , yellow = 20"
1762,"blue = 10 , yellow = 30"
1763,"blue = 10 , yellow = 40"
1764,"blue = 10 , yellow = 50"
1765,"blue = 20 , green = 10"
1766,"blue = 20 , green = 20"
1767,"blue = 20 , green = 30"
1768,"blue = 20 , green = 40"
1769,"blue = 20 , green = 50"
1770,"blue = 20 , purple = 10"
1771,"blue = 20 , purple = 20"
1772,"blue = 20 , purple = 30"
1773,"blue = 20 , purple = 40"
1774,"blue = 20 , purple = 50"
1775,"blue = 20 , yellow = 10"
1776,"blue = 20 , yellow = 20"
1777,"blue = 20 , yellow = 30"
1778,"blue = 20 , yellow = 40"
1779,"blue = 20 , yellow = 50"
1780,"blue = 30 , green = 10"
1781,"blue = 30 , green = 20"
1782,"blue = 30 , green = 30"
1783,"blue = 30 , green = 40"
1784,"blue = 30 , green = 50"
1785,"blue = 30 , purple = 10"
1786,"blue = 30 , purple = 20"
1787,"blue = 30 , purple = 30"
1788,"blue = 30 , purple = 40"
1789,"blue = 30 , purple = 50"
1790,"blue = 30 , yellow = 10"
1791,"blue = 30 , yellow = 20"
1792,"blue = 30 , yellow = 30"
1793,"blue = 30 , yellow = 40"
1794,"blue = 30 , yellow = 50"
1795,"blue = 40 , green = 10"
1796,"blue = 40 , green = 20"
1797,"blue = 40 , green = 30"
1798,"blue = 40 , green = 40"
1799,"blue = 40 , green = 50"
1800,"blue = 40 , purple = 10"
1801,"blue = 40 , purple = 20"
1802,"blue = 40 , purple = 30"
1803,"blue = 40 , purple = 40"
1804,"blue = 40 , purple = 50"
1805,"blue = 40 , yellow = 10"
1806,"blue = 40 , yellow = 20"
1807,"blue = 40 , yellow = 30"
1808,"blue = 40 , yellow = 40"
1809,"blue = 40 , yellow = 50"
1810,"blue = 50 , green = 10"
1811,"blue = 50 , green = 20"
1812,"blue = 50 , green = 30"
1813,"blue = 50 , green = 40"
1814,"blue = 50 , green = 50"
1815,"blue = 50 , purple = 10"
1816,"blue = 50 , purple = 20"
1817,"blue = 50 , purple = 30"
1818,"blue = 50 , purple = 40"
1819,"blue = 50 , purple = 50"
1820,"blue = 50 , yellow = 10"
1821,"blue = 50 , yellow = 20"
1822,"blue = 50 , yellow = 30"
1823,"blue = 50 , yellow = 40"
1824,"blue = 50 , yellow = 50"
1825,"green = 10 , purple = 10"
1826,"green = 10 , purple = 20"
1827,"green = 10 , purple = 30"
1828,"green = 10 , purple = 40"
1829,"green = 10 , purple = 50"
1830,"green = 10 , yellow = 10"
1831,"green = 10 , yellow = 20"
1832,"green = 10 , yellow = 30"
1833,"green = 10 , yellow = 40"
1834,"green = 10 , yellow = 50"
1835,"green = 20 , purple = 10"
1836,"green = 20 , purple = 20"
1837,"green = 20 , purple = 30"
1838,"green = 20 , purple = 40"
1839,"green = 20 , purple = 50"
1840,"green = 20 , yellow = 10"
1841,"green = 20 , yellow = 20"
1842,"green = 20 , yellow = 30"
1843,"green = 20 , yellow = 40"
1844,"green = 20 , yellow = 50"
1845,"green = 30 , purple = 10"
1846,"green = 30 , purple = 20"
1847,"green = 30 , purple = 30"
1848,"green = 30 , purple = 40"
1849,"green = 30 , purple = 50"
1850,"green = 30 , yellow = 10"
1851,"green = 30 , yellow = 20"
1852,"green = 30 , yellow = 30"
1853,"green = 30 , yellow = 40"
1854,"green = 30 , yellow = 50"
1855,"green = 40 , purple = 10"
1856,"green = 40 , purple = 20"
1857,"green = 40 , purple = 30"
1858,"green = 40 , purple = 40"
1859,"green = 40 , purple = 50"
1860,"green = 40 , yellow = 10"
1861,"green = 40 , yellow = 20"
1862,"green = 40 , yellow = 30"
1863,"green = 40 , yellow = 40"
1864,"green = 40 , yellow = 50"
1865,"green = 50 , purple = 10"
1866,"green = 50 , purple = 20"
1867,"green = 50 , purple = 30"
1868,"green = 50 , purple = 40"
1869,"green = 50 , purple = 50"
1870,"green = 50 , yellow = 10"
1871,"green = 50 , yellow = 20"
1872,"green = 50 , yellow = 30"
1873,"green = 50 , yellow = 40"
1874,"green = 50 , yellow = 50"
1875,"purple = 10 , yellow = 10"
1876,"purple = 10 , yellow = 20"
1877,"purple = 10 , yellow = 30"
1878,"purple = 10 , yellow = 40"
1879,"purple = 10 , yellow = 50"
1880,"purple = 20 , yellow = 10"
1881,"purple = 20 , yellow = 20"
1882,"purple = 20 , yellow = 30"
1883,"purple = 20 , yellow = 40"
1884,"purple = 20 , yellow = 50"
1885,"purple = 30 , yellow = 10"
1886,"purple = 30 , yellow = 20"
1887,"purple = 30 , yellow = 30"
1888,"purple = 30 , yellow = 40"
1889,"purple = 30 , yellow = 50"
1890,"purple = 40 , yellow = 10"
1891,"purple = 40 , yellow = 20"
1892,"purple = 40 , yellow = 30"
1893,"purple = 40 , yellow = 40"
1894,"purple = 40 , yellow = 50"
1895,"purple = 50 , yellow = 10"
1896,"purple = 50 , yellow = 20"
1897,"purple = 50 , yellow = 30"
1898,"purple = 50 , yellow = 40"
1899,"purple = 50 , yellow = 50"
1900,"red = 10 , blue = 10 , green = 10 , purple = 10"
1901,"red = 10 , blue = 10 , green = 10 , purple = 20"
1902,"red = 10 , blue = 10 , green = 10 , purple = 30"
1903,"red = 10 , blue = 10 , green = 10 , purple = 40"
1904,"red = 10 , blue = 10 , green = 10 , purple = 50"
1905,"red = 10 , blue = 10 , green = 10 , yellow = 10"
1906,"red = 10 , blue = 10 , green = 10 , yellow = 20"
1907,"red = 10 , blue = 10 , green = 10 , yellow = 30"
1908,"red = 10 , blue = 10 , green = 10 , yellow = 40"
1909,"red = 10 , blue = 10 , green = 10 , yellow = 50"
1910,"red = 10 , blue = 10 , green = 20 , purple = 10"
1911,"red = 10 , blue = 10 , green = 20 , purple = 20"
1912,"red = 10 , blue = 10 , green = 20 , purple = 30"
1913,"red = 10 , blue = 10 , green = 20 , purple = 40"
1914,"red = 10 , blue = 10 , green = 20 , purple = 50"
1915,"red = 10 , blue = 10 , green = 20 , yellow = 10"
1916,"red = 10 , blue = 10 , green = 20 , yellow = 20"
1917,"red = 10 , blue = 10 , green = 20 , yellow = 30"
1918,"red = 10 , blue = 10 , green = 20 , yellow = 40"
1919,"red = 10 , blue = 10 , green = 20 , yellow = 50"
1920,"red = 10 , blue = 10 , green = 30 , purple = 10"
1921,"red = 10 , blue = 10 , green = 30 , purple = 20"
1922,"red = 10 , blue = 10 , green = 30 , purple = 30"
1923,"red = 10 , blue = 10 , green = 30 , purple = 40"
1924,"red = 10 , blue = 10 , green = 30 , purple = 50"
1925,"red = 10 , blue = 10 , green = 30 , yellow = 10"
1926,"red = 10 , blue = 10 , green = 30 , yellow = 20"
1927,"red = 10 , blue = 10 , green = 30 , yellow = 30"
1928,"red = 10 , blue = 10 , green = 30 , yellow = 40"
1929,"red = 10 , blue = 10 , green = 30 , yellow = 50"
1930,"red = 10 , blue = 10 , green = 40 , purple = 10"
1931,"red = 10 , blue = 10 , green = 40 , purple = 20"
1932,"red = 10 , blue = 10 , green = 40 , purple = 30"
1933,"red = 10 , blue = 10 , green = 40 , purple = 40"
1934,"red = 10 , blue = 10 , green = 40 , purple = 50"
1935,"red = 10 , blue = 10 , green = 40 , yellow = 10"
1936,"red = 10 , blue = 10 , green = 40 , yellow = 20"
1937,"red = 10 , blue = 10 , green = 40 , yellow = 30"
1938,"red = 10 , blue = 10 , green = 40 , yellow = 40"
1939,"red = 10 , blue = 10 , green = 40 , yellow = 50"
1940,"red = 10 , blue = 10 , green = 50 , purple = 10"
1941,"red = 10 , blue = 10 , green = 50 , purple = 20"
1942,"red = 10 , blue = 10 , green = 50 , purple = 30"
1943,"red = 10 , blue = 10 , green = 50 , purple = 40"
1944,"red = 10 , blue = 10 , green = 50 , purple = 50"
1945,"red = 10 , blue = 10 , green = 50 , yellow = 10"
1946,"red = 10 , blue = 10 , green = 50 , yellow = 20"
1947,"red = 10 , blue = 10 , green = 50 , yellow = 30"
1948,"red = 10 , blue = 10 , green = 50 , yellow = 40"
1949,"red = 10 , blue = 10 , green = 50 , yellow = 50"
1950,"red = 10 , blue = 10 , purple = 10 , yellow = 10"
1951,"red = 10 , blue = 10 , purple = 10 , yellow = 20"
1952,"red = 10 , blue = 10 , purple = 10 , yellow = 30"
1953,"red = 10 , blue = 10 , purple = 10 , yellow = 40"
1954,"red = 10 , blue = 10 , purple = 10 , yellow = 50"
1955,"red = 10 , blue = 10 , purple = 20 , yellow = 10"
1956,"red = 10 , blue = 10 , purple = 20 , yellow = 20"
1957,"red = 10 , blue = 10 , purple = 20 , yellow = 30"
1958,"red = 10 , blue = 10 , purple = 20 , yellow = 40"
1959,"red = 10 , blue = 10 , purple = 20 , yellow = 50"
1960,"red = 10 , blue = 10 , purple = 30 , yellow = 10"
1961,"red = 10 , blue = 10 , purple = 30 , yellow = 20"
1962,"red = 10 , blue = 10 , purple = 30 , yellow = 30"
1963,"red = 10 , blue = 10 , purple = 30 , yellow = 40"
1964,"red = 10 , blue = 10 , purple = 30 , yellow = 50"
1965,"red = 10 , blue = 10 , purple = 40 , yellow = 10"
1966,"red = 10 , blue = 10 , purple = 40 , yellow = 20"
1967,"red = 10 , blue = 10 , purple = 40 , yellow = 30"
1968,"red = 10 , blue = 10 , purple = 40 , yellow = 40"
1969,"red = 10 , blue = 10 , purple = 40 , yellow = 50"
